game,result,game_state
2,1/2-1/2,Nnb2bn1/1p1r4/p1pp3p/3Pp1k1/1PP4R/P3P1B1/3K1PP1/3R1BN1 b - - 7 24
2,1/2-1/2,Nnb2bn1/1p1r4/p1pp4/3Pp1kp/1PP4R/P3P1B1/3K1PP1/3R1BN1 w - - 0 25
2,1/2-1/2,Nnb2bn1/1p1r4/p1pp4/3Pp1kp/1PP4R/P3P1B1/3KBPP1/3R2N1 b - - 1 25
2,1/2-1/2,Nnb2b2/1p1r4/p1pp1n2/3Pp1kp/1PP4R/P3P1B1/3KBPP1/3R2N1 w - - 2 26
2,1/2-1/2,1nb2b2/1p1r4/pNpp1n2/3Pp1kp/1PP4R/P3P1B1/3KBPP1/3R2N1 b - - 3 26
2,1/2-1/2,1nbr1b2/1p6/pNpp1n2/3Pp1kp/1PP4R/P3P1B1/3KBPP1/3R2N1 w - - 4 27
2,1/2-1/2,1nbr1b2/1p6/pNPp1n2/4p1kp/1PP4R/P3P1B1/3KBPP1/3R2N1 b - - 0 27
2,1/2-1/2,2br1b2/1p6/pNnp1n2/4p1kp/1PP4R/P3P1B1/3KBPP1/3R2N1 w - - 0 28
2,1/2-1/2,2Nr1b2/1p6/p1np1n2/4p1kp/1PP4R/P3P1B1/3KBPP1/3R2N1 b - - 0 28
2,1/2-1/2,2r2b2/1p6/p1np1n2/4p1kp/1PP4R/P3P1B1/3KBPP1/3R2N1 w - - 0 29
2,1/2-1/2,2r2b2/1p6/p1np1n2/4p1kp/1PP4R/P3PBB1/3K1PP1/3R2N1 b - - 1 29
2,1/2-1/2,2r2b2/1p6/p1n2n2/3pp1kp/1PP4R/P3PBB1/3K1PP1/3R2N1 w - - 0 30
2,1/2-1/2,2r2b2/1p6/p1n2n2/3Pp1kp/1P5R/P3PBB1/3K1PP1/3R2N1 b - - 0 30
2,1/2-1/2,2r2b2/1p2n3/p4n2/3Pp1kp/1P5R/P3PBB1/3K1PP1/3R2N1 w - - 1 31
2,1/2-1/2,2r2b2/1p2n3/p2P1n2/4p1kp/1P5R/P3PBB1/3K1PP1/3R2N1 b - - 0 31
2,1/2-1/2,3r1b2/1p2n3/p2P1n2/4p1kp/1P5R/P3PBB1/3K1PP1/3R2N1 w - - 1 32
